positive/103.jpg 1 54 136 76 32
positive/12.jpg 1 46 38 130 178
positive/13.jpg 2 52 70 64 119 52 81 63 102
positive/139.jpg 1 9 143 155 73
positive/141.jpg 1 0 78 183 137
positive/143.jpg 2 41 146 22 43 152 186 43 16
positive/145.jpg 1 166 88 40 121
positive/147.jpg 1 59 92 83 80
positive/149.jpg 2 78 154 45 26 80 155 43 25
positive/15.jpg 1 38 72 117 117
positive/154.jpg 1 16 47 127 120
positive/156.jpg 1 0 81 111 129
positive/163.jpg 2 91 41 124 175 35 43 65 173
positive/165.jpg 1 109 79 82 128
positive/17.jpg 1 65 34 130 179
positive/170.jpg 1 89 102 109 101
positive/177.jpg 2 122 95 44 110 98 103 26 47
positive/185.jpg 2 1 100 150 92 29 94 55 12
positive/188.jpg 1 47 72 75 103
positive/2.jpg 1 14 167 64 34
positive/204.jpg 2 73 181 16 34 110 164 70 51
positive/205.jpg 1 112 108 51 101
positive/224.jpg 2 37 48 34 48 147 165 30 32
positive/231.jpg 1 105 111 74 105
positive/234.jpg 1 160 148 54 67
positive/235.jpg 3 110 147 9 1 7 112 61 68 7 179 113 37
positive/236.jpg 1 1 160 46 54
positive/237.jpg 2 83 103 38 44 83 102 38 44
positive/238.jpg 1 109 183 53 21
positive/242.jpg 1 122 110 59 87
positive/244.jpg 4 157 165 29 22 110 198 44 18 106 183 43 27 63 165 17 31
positive/245.jpg 1 88 89 69 70
positive/248.jpg 1 72 107 60 109
positive/249.jpg 1 94 183 82 21
positive/25.jpg 1 3 27 209 188
positive/253.jpg 1 115 106 71 109
positive/254.jpg 1 79 79 37 103
positive/255.jpg 1 72 146 52 29
positive/257.jpg 1 83 44 37 86
positive/26.jpg 1 47 102 91 102
positive/262.jpg 1 87 104 78 72
positive/263.jpg 1 76 37 114 154
positive/264.jpg 1 113 113 87 90
positive/269.jpg 1 67 30 128 183
positive/273.jpg 1 74 81 44 42
positive/279.jpg 1 74 72 91 144
positive/284.jpg 1 119 97 73 115
positive/291.jpg 1 135 86 36 88
positive/293.jpg 2 104 129 41 67 72 129 42 72
positive/3.jpg 1 94 97 82 101
positive/30.jpg 1 39 75 115 101
positive/300.jpg 1 77 67 39 50
positive/32.jpg 2 147 178 25 33 133 184 19 27
positive/33.jpg 1 139 157 56 59
positive/37.jpg 1 114 198 26 18
positive/38.jpg 1 74 71 124 144
positive/41.jpg 1 89 93 54 90
positive/43.jpg 2 105 129 90 86 115 145 50 26
